reviewId,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,version
6c3beddd-039d-4c8b-804f-6cdf62adf1a5,prima one,Mantap,5,0,2024-01-24T17:52:33,,,
62602b28-b1da-4e9b-8cee-6b8f48d06d78,rendy chees,"ribet, nggak ada solusi! uang saya di ambil",1,0,2024-01-24T17:48:26,"Mohon maaf atas kendalanya, Kak Rendy. Pastikan internetmu stabil dan aplikasi Gojek sudah versi terbaru. Lalu, tutup dan buka lagi aplikasi Gojekmu. Jika masih berkendala, laporkan dengan cara salin alamat tautan https://gjk.id/Balancelost lalu salin ulang di browsermu. Cantumkan kode psr-24-0024-1048-05487 di kolom 'Ceritakan lebih lanjut'. ^Tria",2024-01-24T18:48:28,4.81.1
fb2ed547-d9f2-4e71-a8f4-5df855eda347,Yunita Qodariah,Aplikasi yang sangata bantu,5,0,2024-01-24T17:46:06,,,4.81.2
a7db264b-3a73-4f92-9134-a279f27eb299,Rohmad Adi Saputra,Algoritma suka eror ada jalan lebih Deket malah di kasih jalan muter jadi lebih mahal ongkir nya mending pindah grab,2,0,2024-01-24T17:41:15,"Mohon maaf, Kak Rohmad. Sebelum memesan, pastikan kamu sudah memberikan izin akses lokasi untuk aplikasi Gojek dan menggunakan aplikasi versi terbaru, ya. Jika masih berkendala, laporkan dengan cara salin tautan https://gjk.id/GPSProblem lalu salin ulang di browsermu. Cantumkan kode psr-24-0024-1045-24624 pada kolom 'Ceritakan lebih lanjut'. ^Tria",2024-01-24T18:45:45,4.81.2
a6d06f42-222f-4a31-9c15-1fc617b0d3b1,Wiryo Huang,"Hebat Karya Anak Bangsa,, Transfer Gopay To BCA free admin Kenapa saya kasih Bintang 5 karena waktu saya Transfer dari Gopay ke BCA Dengan Nominal Rp 5000,00 ternyata bisa..dompet digital laiinya mana bisa seperti Gopay..Sukses Selalu Karya Anak Bangsa.👍👍👍👍👍",5,0,2024-01-24T17:35:28,,,4.17.1
eb086b9d-5606-42ea-a200-7235d40e8ea4,Hafid Ashari,Tarif bersaing dengan aplikasi serupa,4,0,2024-01-24T17:34:10,,,4.81.2
66db525e-da8d-489d-8b47-c3b2d6881fe3,Septian Pratama,"Gopaylater ku tiba2 di blokir , padahal ngga pernah bermasalah dlm pembayaran.",1,1,2024-01-24T17:22:29,"Hai Kak Septian, mohon maaf atas kendala yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-24-0024-0930-19539 di subjek email, ya. ^Tria",2024-01-24T17:30:28,4.81.2
5aad9121-dc11-4a8f-8fd2-182bd88767e8,anjani camelia,selalu pake gojek dan alhamdulillah gak pernah ada kekurangan. terima kasih!,5,0,2024-01-24T17:20:11,,,
07a390ed-fbe1-4332-968e-bae2b4d88ad2,Arta,Makasih atas playananya yang baik,5,0,2024-01-24T16:44:26,,,4.81.1
cfdb549a-ad96-4f0a-8439-c939077c631a,Dian Febrianti,Ini kenapa setelah di update malah ga bisa di apa2in deh Menyedihkaaan,2,0,2024-01-24T16:40:15,"Hai Kak Dian, mohon maaf atas kendalanya. Pastikan sinyal internet bagus dan sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih mengalami kendala, laporkan dengan cara salin alamat tautan https://gjk.id/ErrorApps lalu salin ulang di browsermu. Cantumkan kode psr-24-0024-0933-45619 pada kolom 'Ceritakan lebih lanjut'. ^Tria",2024-01-24T17:33:54,4.81.2
7f939d77-784e-49eb-a3f7-d63730931eb5,SUKIRMAN,selalu membantu,5,0,2024-01-24T16:39:30,"Hai Sukirman, terima kasih atas ulasanmu. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Viska",2021-09-17T08:34:39,4.75.1
